strategy,publication_year,tau_hat,t_stat,p_value,post_months,sign
AM,1992,0.04028627627702585,0.05604643085803427,0.9553048187894708,120,nonnegative
AOP,1998,-0.323824367611317,-1.793933089856461,0.07282384913584883,120,negative
AbnormalAccruals,2001,-0.28048946900627963,-1.0813026835554647,0.2795624941140362,120,negative
Accruals,1996,-0.5749469251153178,-1.79482455022748,0.07268165802124082,120,negative
AccrualsBM,2004,0.17730928151220485,0.42794404527118846,0.6686918588063409,120,nonnegative
Activism1,2005,0.24155856064534675,0.821031924760269,0.4116280839455402,21,nonnegative
Activism2,2005,0.5186407682853056,0.7885390691580918,0.4303814552189793,21,nonnegative
AdExp,2001,0.004564701988475724,0.02261872376626901,0.9819544082424498,120,nonnegative
AgeIPO,1991,-0.3973556629962533,-0.5122970983986191,0.6084430956838369,120,negative
AnalystRevision,1984,0.02809673745575258,0.29335158674892037,0.7692534265457502,120,nonnegative
AnalystValue,1998,0.15515008888894782,0.17667414082916796,0.8597643539507376,120,nonnegative
AnnouncementReturn,1996,-0.02762433521692338,-0.20613914362269406,0.8366822231338786,120,negative
AssetGrowth,2008,-0.32725009460994403,-0.6030914777147772,0.5464478355521738,120,negative
BM,1980,-0.06461032274643232,-0.38240959081631787,0.7021575775605977,120,negative
BMdec,1992,-0.116331337479841,-0.3462382944825934,0.7291636376008706,120,negative
BPEBM,2007,0.5436727686229591,0.4847900777075326,0.6278252618242206,120,nonnegative
Beta,1973,-0.5361002454916897,-2.7816374612262993,0.005408542067415922,120,negative
BetaFP,2014,1.7342747503003755,0.34949441829318634,0.7267181605153854,120,nonnegative
BetaLiquidityPS,2003,0.44703326004871186,1.2509553561075322,0.21095076584628636,120,nonnegative
BetaTailRisk,2014,0.3974107587430287,0.20670951559095777,0.8362367255353689,120,nonnegative
BidAskSpread,1986,0.01647579356024552,0.05097475921915394,0.9593456336179775,120,nonnegative
BookLeverage,1992,-0.661985819875671,-1.0276587766186007,0.3041103654797612,120,negative
BrandInvest,2014,-0.16349968325106623,-0.12453441991751739,0.9008921493380007,120,negative
CBOperProf,2016,0.020051437702979416,0.05707634220000097,0.9544843818840647,103,nonnegative
CF,1994,-0.6252294530676702,-1.627301061317444,0.1036731726201674,120,negative
CPVolSpread,2009,-0.718618734527283,-0.4418982642479932,0.6585628267506185,120,negative
Cash,2012,0.557382650803068,0.16679174487329934,0.8675339143360912,120,nonnegative
CashProd,2009,-1.4358013742114581,-1.7505621418619792,0.08002136124367576,120,negative
ChAssetTurnover,2008,0.11619392507332359,0.17205391374856233,0.863395143870979,120,nonnegative
ChEQ,2010,-0.3506546380821629,-0.6897043987012076,0.4903800991174019,120,negative
ChForecastAccrual,2004,0.2377562523467283,1.4900959159868075,0.13619901788717836,120,nonnegative
ChInv,2002,-0.3280656386699378,-2.056376245807841,0.039746264129848274,120,negative
ChInvIA,1998,0.2486514848533868,1.070176875786591,0.2845397009395314,120,nonnegative
ChNAnalyst,2008,-0.5083849233795041,-1.082884319250347,0.2788597728398028,120,negative
ChNNCOA,2008,0.16718912438484118,0.29624987547933385,0.7670392621992816,120,nonnegative
ChNWC,2008,0.07633089717623018,0.08430160899733273,0.932816633163122,120,nonnegative
ChTax,2011,-0.18187385509225465,-0.16865416910937586,0.8660686700107045,120,negative
ChangeInRecommendation,2004,-0.32644995537246435,-2.6697896842683226,0.007589877093264752,120,negative
